scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,33,prior_mean,fixed,0.7,0.8,14,0.5670333462102072,0.5675012124561686,-0.5670333462102072,
physical_fixed,33,prior_mean,fixed,0.8,0.9,4,0.6657939106225967,0.6665205737734446,-0.6657939106225967,
physical_fixed,33,prior_median,fixed,0.0,0.1,3881,0.08124760009446301,0.08536842058567275,0.08124760009446301,
physical_fixed,33,prior_median,fixed,0.1,0.2,2878,0.026281495196091124,0.031412708255506426,-0.01219265632295128,
physical_fixed,33,prior_median,fixed,0.2,0.3,1707,0.11124563651016461,0.1147774660185415,-0.11124563651016461,
physical_fixed,33,prior_median,fixed,0.3,0.4,928,0.20973808620253515,0.21167037709389264,-0.20973808620253515,
physical_fixed,33,prior_median,fixed,0.4,0.5,398,0.3085192244256561,0.3097680462309155,-0.3085192244256561,
physical_fixed,33,prior_median,fixed,0.5,0.6,147,0.4057331600156771,0.4065194100290694,-0.4057331600156771,
physical_fixed,33,prior_median,fixed,0.6,0.7,43,0.5002005571542785,0.5007260907819785,-0.5002005571542785,
physical_fixed,33,prior_median,fixed,0.7,0.8,14,0.5987734155995504,0.5992164998175773,-0.5987734155995504,
physical_fixed,33,prior_median,fixed,0.8,0.9,4,0.69753398001194,0.6982276112504067,-0.69753398001194,
physical_fixed,33,mean_var,fixed,0.0,0.1,3881,0.09031748122789295,0.10176999850423421,0.09023947278131256,0.04427691538157112
physical_fixed,33,mean_var,fixed,0.1,0.2,2878,0.03889045914307578,0.052488235620788484,0.004594672828539947,0.07386826403122042
physical_fixed,33,mean_var,fixed,0.2,0.3,1707,0.0862743145342661,0.0960642396909363,-0.07650159326434904,0.15265549731869435
physical_fixed,33,mean_var,fixed,0.3,0.4,928,0.1451750349189187,0.1575375909397879,-0.1384041407948424,0.12050544237513604
physical_fixed,33,mean_var,fixed,0.4,0.5,398,0.17090147842264655,0.19233685498422665,-0.16113264825026594,0.24305936180140905
physical_fixed,33,mean_var,fixed,0.5,0.6,147,0.18936026359901947,0.21877073005290562,-0.17841918310340568,0.16830025003208926
physical_fixed,33,mean_var,fixed,0.6,0.7,43,0.1879766243834828,0.217833309454135,-0.1666093794412391,0.31936447893391756
physical_fixed,33,mean_var,fixed,0.7,0.8,14,0.11174119796071733,0.17412479531637443,-0.08213441286768232,0.36467751539370136
physical_fixed,33,mean_var,fixed,0.8,0.9,4,0.0758107453584671,0.1047428643899688,-0.06508345901966095,0.7002040888259202
physical_fixed,33,expanded_stats,fixed,0.0,0.1,3881,0.08915324543315521,0.10063049408764356,0.08914068026030933,0.043085673732275113
physical_fixed,33,expanded_stats,fixed,0.1,0.2,2878,0.038719348749242946,0.05281780606434333,0.0035571466155396806,0.06987087748518998
physical_fixed,33,expanded_stats,fixed,0.2,0.3,1707,0.08818002070906432,0.09791629013112263,-0.07776531935453973,0.1525940049862428
